english_name,id,major,English,Spanish,German,French,Arabic,Bosnian,Bulgarian,Catalan,Czech,Slovak,Welsh,Danish,Greek,Esperanto,Estonian,Basque,Persian,Finnish,Irish,Hebrew,Hindi,Croatian,Hungarian,Armenian,Indonesian,Icelandic,Italian,Japanese,Korean,Kurdish,Latin,Latvian,Lithuanian,Macedonian,Maltese,Mongolian,Nepali,Dutch,Norwegian Bokmål,Punjabi,Polish,"Portuguese, Portugal","Portuguese, Brazil",Quechua,Romanian,Russian,Slovenian,Somali,Albanian,Serbian,Swedish,Tamil,Thai,Turkish,Ukrainian,Urdu,Uzbek,Vietnamese,Yiddish,Chinese (Simplified),Zulu,Chinese (Traditional),Malay
English,1,1,English,Inglés,Englisch,Anglais,الإنجليزية,,Английски,,Angličtina,Angličtina,,,Αγγλικα,,,,,englanti,,אנגלית,,Engleski,angol,,,,Inglese,英語,영어,,,,,,,,,Engels,Engelsk,,angielski,Inglês,Inglês,,Engleză,Английский,Angleščina,,,енглески,Engelska,,อังกฤษ,İngilizce,,,,,,英语,,英語,
Spanish,2,1,Spanish,Español,Spanisch,Espagnol,الأسبانية,,Испански,,Španělský,Španielčina,,,Ισπανικα,,,,,espanja,,ספרדית,,španjolski,spanyol,,,,Spagnolo,スペイン語,스페인어,,,,,,,,,Spaans,Spansk,,hiszpański,Espanhol,Espanhol,,Spaniolă,Испанский,Španščina,,,шпански,Spanska,,สเปน,İspanyolca,,,,,,西班牙语,,西班牙語,
German,3,1,German,Alemán,Deutsch,Allemand,الألمانية,,Немски,,Němec,Nemčina,,,Γερμανικα,,,,,saksa,,גרמנית,,Njemački,német,,,,Tedesco,ドイツ語,독어,,,,,,,,,Duits,Tysk,,niemiecki,Alemão,Alemão,,Germană,Немецкий,Nemščina,,,немачки,Tyska,,เยอรมัน,Almanca,,,,,,德语,,德語,
French,4,1,French,Francés,Französisch,Français,الفرنسية,,Френски,,Francouzština,Francúzština,,,Γαλλικα,,,,,ranska,,צרפתית,,Francuzi,francia,,,,Francese,フランス語,불어,,,,,,,,,Frans,Fransk,,francuski,Francês,Francês,,Franceză,Французский,Francoščina,,,француски,Franska,,ฝรั่งเศส,Fransızca,,,,,,法语,,法語,
Arabic,5,,Arabic,Árabe,Arabisch,Arabe,العربية,,Арабски,,Arabština,Arabčina,,,Αραβικα,,,,,arabia,,ערבית,,Arapski,arab,,,,Arabo,アラビア語,아랍어,,,,,,,,,Arabisch,Arabisk,,arabski,Árabe,Árabe,,Arabică,Арабский,Arabščina,,,арапски,Arabiska,,อารบิก,Arapça,,,,,,阿拉伯语,,阿拉伯語,
Bosnian,6,,Bosnian,Bosnio,Bosnisch,Bosnien,البوسنية,,Босненски,,Bosenština,Bosniačtina,,,Βοσνιακα,,,,,bosnia,,בוסנית,,Bosanski,bosnyák,,,,Bosniaco,ボスニア語,보즈니아어,,,,,,,,,Bosnisch,Bosnisk,,bośniacki,Bósnio,Bósnio,,Bosniacă,Боснийский,Bosanski,,,босански,Bosniska,,บอสเนียน,Boşnakça,,,,,,波斯尼亚语,,波士尼亞語,
Bulgarian,7,,Bulgarian,Búlgaro,Bulgarisch,Bulgare,البلغارية,,Български,,Bulharština,Bulharčina,,,Βουλγαρικα,,,,,bulgaria,,בולגרית,,Bugarski,bolgár,,,,Bulgaro,ブルガリア語,불가리아어,,,,,,,,,Bulgaars,Bulgarian,,bułgarski,Búlgaro,Búlgaro,,Bulgară,Болгарский,Bolgarščina,,,бугарски,Bulgariska,,บัลแกเรียน,Bulgarca,,,,,,保加利亚语,,保加利亞語,
Catalan,8,,Catalan,Catalán,Katalanisch,Catalan,الكاتالوينية,,Каталонски,Català,Katalánština,Katalánčina,,,Καταλανικα,,,,,katalaani,,קטלאנית,,Katalonski,katalán,,,,Catalano,カタルーニャ語,카탈로니아어,,,,,,,,,Catalaans,catalan,,kataloński,Catalão,Catalão,,Catalană,Каталанский,Katalonščina,,,каталонски,Katalanska,,คะตะลาน,Katalan dili,,,,,,加泰罗尼亚语,,加泰羅尼亞語,
Czech,9,,Czech,Checo,Tschechisch,Tchèque,التشيكية,,Чешки,,Čeština,Čeština,,,Τσεχικη,,,,,tsekki,,צ'כית,,češki,cseh,,,,Ceco,チェコ語,체코슬로바키아어,,,,,,,,,Tsjechisch,Czech,,czeski,Tcheco,Tcheco,,Cehă,Чешский,Češčina,,,чешки,Tjeckiska,,เช็ก,Çekçe,,,,,,捷克语,,捷克語,
Slovak,10,,Slovak,Eslavo,Slowakisch,Slave,السلافية,,Словашки,,Slovenština,Slovenčina,,,Σλαβικη,,,,,slaavi,,סלאבית,,Slovak,szláv,,,,Slavo,スラヴ語派,슬라브어,,,,,,,,,Slavisch,Slovak,,słowacki,Eslavo,Eslavo,,Slavă,Славянский,Slovaščina,,,словачки,Slavisk,,สลาวิก,Slav dili,,,,,,斯拉夫语,,斯拉夫語,
